EmployeeId,Department,JobRole,Gender,Age,YearsAtCompany,Salary,PerformanceScore,Satisfaction,Attrition,HireDate
E0103,Operations,Logistics Coordinator,Male,50,16,103189,4,8,No,2009-09-07
E0104,Operations,Logistics Coordinator,Female,42,14,103761,3,4,No,2011-01-10
E0105,HR,HR Generalist,Male,40,9,80603,1,5,Yes,2016-11-15
E0106,HR,Recruiter,Female,34,5,83162,2,4,No,2020-03-12
E0107,Marketing,Content Specialist,Female,44,16,112350,3,3,Yes,2009-09-24
E0108,Operations,Ops Manager,Female,50,15,139432,4,8,No,2010-06-14
E0109,Sales,Sales Manager,Male,36,4,107863,5,8,No,2021-05-09
E0110,Marketing,Marketing Manager,Male,44,15,125938,3,6,Yes,2010-01-24
E0111,Finance,Financial Analyst,Male,38,13,119444,2,2,Yes,2012-06-22
E0112,Sales,Account Executive,Female,34,4,89669,2,1,Yes,2021-01-22
E0113,Finance,Financial Analyst,Female,45,11,95766,5,5,No,2014-05-18
E0114,Marketing,Marketing Manager,Male,39,6,105707,1,1,Yes,2019-02-26
E0115,Sales,Sales Manager,Female,41,13,123896,3,4,No,2012-04-13
E0116,Operations,Ops Manager,Male,27,2,85162,4,8,No,2023-11-09
E0117,Operations,Ops Manager,Male,37,14,122901,2,6,No,2011-10-16
E0118,HR,Recruiter,Female,38,6,67010,2,2,Yes,2019-05-11
E0119,Marketing,SEO Analyst,Female,44,11,104965,1,3,Yes,2014-04-05
E0120,HR,Recruiter,Female,51,15,96411,4,6,No,2010-12-08
E0121,Finance,Financial Analyst,Female,24,1,84362,3,2,Yes,2024-10-01
E0122,Finance,Accountant,Male,36,4,86803,5,4,Yes,2021-10-10
E0123,Sales,Sales Manager,Male,42,12,127380,5,4,No,2013-08-01
E0124,Sales,Sales Manager,Male,36,2,110171,2,6,No,2023-11-27
E0125,Marketing,Marketing Manager,Female,37,15,124694,3,7,No,2010-06-20
E0126,Marketing,SEO Analyst,Male,41,6,73959,5,5,No,2019-05-16
E0127,HR,Recruiter,Male,22,0,52378,4,6,No,2025-02-11
E0128,Engineering,Engineering Manager,Male,50,16,158593,3,7,No,2009-08-22
E0129,Engineering,Engineering Manager,Male,37,15,165397,1,1,Yes,2010-03-28
E0130,Operations,Ops Manager,Male,45,17,122962,5,4,No,2008-01-04
E0131,HR,HR Generalist,Male,34,5,75129,5,7,No,2020-06-02
E0132,HR,HR Generalist,Male,33,2,72368,2,1,No,2023-08-30
E0133,Operations,Logistics Coordinator,Female,47,11,82747,3,6,No,2014-03-29
E0134,Sales,Account Executive,Female,45,12,96918,3,5,No,2013-06-14
E0135,Finance,Financial Analyst,Male,35,11,116852,2,2,Yes,2014-03-28
E0136,Finance,Financial Analyst,Female,31,8,94207,3,7,No,2017-07-27
E0137,Operations,Logistics Coordinator,Female,40,14,98195,5,3,Yes,2011-08-08
E0138,Sales,Sales Manager,Male,37,8,114940,3,5,No,2017-12-30
E0139,Finance,Accountant,Female,36,13,108078,5,7,No,2012-07-14
E0140,Finance,Accountant,Female,46,16,122703,3,1,Yes,2009-04-07
E0141,Engineering,QA Engineer,Male,45,16,147859,1,4,No,2009-03-22
E0142,Operations,Ops Manager,Female,36,5,110587,4,4,No,2020-02-01
E0143,Marketing,Content Specialist,Male,46,15,112591,3,6,No,2010-03-05
E0144,Operations,Logistics Coordinator,Female,47,13,98385,1,2,Yes,2012-10-25
E0145,Sales,Account Executive,Male,43,13,96240,1,5,No,2012-04-05
E0146,Operations,Logistics Coordinator,Female,34,8,95633,4,2,Yes,2017-04-13
E0147,Marketing,SEO Analyst,Male,36,2,73217,2,4,No,2023-11-09
E0148,Finance,Accountant,Female,41,8,91804,3,5,No,2017-06-20
E0149,Finance,Accountant,Male,37,2,93159,1,5,No,2023-01-30
E0150,Finance,Accountant,Female,42,9,108583,2,3,No,2016-11-24
E0151,Finance,Accountant,Male,24,1,84399,5,9,No,2024-11-18
E0152,Marketing,Content Specialist,Male,49,13,111491,4,7,No,2012-01-31
E0153,Marketing,SEO Analyst,Female,37,9,94471,1,3,No,2016-02-07
E0154,Operations,Logistics Coordinator,Male,37,3,70767,5,6,Yes,2022-10-02
E0155,Engineering,Software Engineer,Female,34,5,115078,1,1,Yes,2020-03-21
E0156,Engineering,QA Engineer,Female,48,17,134916,1,5,No,2008-08-02
E0157,HR,Recruiter,Female,38,14,95228,2,4,No,2011-06-09
E0158,Operations,Logistics Coordinator,Male,52,17,103311,2,6,Yes,2008-04-11
E0159,Marketing,Marketing Manager,Female,51,17,134863,4,7,No,2008-05-30
E0160,Sales,Sales Manager,Male,44,11,133826,1,1,Yes,2014-10-30
E0161,Marketing,SEO Analyst,Female,51,17,117080,4,4,Yes,2008-08-27
E0162,Operations,Logistics Coordinator,Male,53,17,113980,1,1,No,2008-04-06
E0163,HR,Recruiter,Female,31,6,89677,3,1,Yes,2019-12-22
E0164,Sales,Sales Manager,Male,40,14,144604,2,1,Yes,2011-12-01
E0165,Finance,Accountant,Male,34,3,77987,1,4,No,2022-01-11
E0166,Finance,Financial Analyst,Female,36,6,103173,2,1,No,2019-03-09
E0167,Sales,Sales Rep,Female,24,1,65200,2,1,No,2024-01-18
E0168,Marketing,Marketing Manager,Male,37,15,122477,5,9,No,2010-11-22
E0169,Operations,Ops Manager,Female,30,4,96549,3,4,No,2021-08-07
E0170,HR,Recruiter,Female,40,6,69121,3,4,Yes,2019-05-21
E0171,Operations,Ops Manager,Female,43,13,129957,5,6,No,2012-07-23
E0172,Engineering,QA Engineer,Female,44,10,126512,2,5,No,2015-03-23
E0173,HR,HR Generalist,Male,30,4,66544,3,5,Yes,2021-01-27
E0174,Finance,Accountant,Male,27,1,71370,3,5,No,2024-07-10
E0175,Marketing,Marketing Manager,Female,40,14,124033,5,8,No,2011-10-28
E0176,Operations,Ops Manager,Male,28,5,114345,5,9,No,2020-08-30
E0177,Sales,Account Executive,Male,40,7,98667,3,3,Yes,2018-03-25
E0178,Sales,Sales Rep,Female,33,6,90034,4,2,No,2019-12-31
E0179,Marketing,SEO Analyst,Female,37,15,95105,3,5,No,2010-09-21
E0180,Engineering,QA Engineer,Female,31,7,107056,3,6,Yes,2018-07-13
E0181,Operations,Ops Manager,Male,48,12,117260,4,4,No,2013-06-25
E0182,Sales,Sales Manager,Female,29,7,119751,1,3,Yes,2018-04-14
E0183,Sales,Sales Manager,Female,32,0,104354,2,4,Yes,2025-09-25
E0184,Engineering,Engineering Manager,Female,30,7,147577,1,2,No,2018-04-25
E0185,Marketing,Content Specialist,Male,30,8,80906,2,5,No,2017-06-29
E0186,Operations,Ops Manager,Female,30,6,96533,2,3,Yes,2019-10-11
E0187,Engineering,Software Engineer,Female,39,11,120912,5,7,No,2014-10-15
E0188,HR,HR Generalist,Male,39,12,86415,1,4,Yes,2013-06-27
E0189,Marketing,SEO Analyst,Female,37,11,88992,4,6,No,2014-12-30
E0190,HR,HR Generalist,Female,42,12,90613,5,3,Yes,2013-04-13
E0191,Sales,Sales Manager,Male,39,3,101599,1,3,No,2022-01-13
E0192,Engineering,QA Engineer,Male,42,8,122217,4,6,No,2017-10-04
E0193,HR,Recruiter,Female,37,5,86122,2,1,Yes,2020-01-16
E0194,Sales,Sales Manager,Male,30,5,114196,5,3,No,2020-01-11
E0195,Operations,Ops Manager,Male,40,5,94632,1,5,No,2020-01-27
E0196,HR,Recruiter,Male,37,14,87980,2,1,Yes,2011-12-26
E0197,Engineering,Software Engineer,Male,31,0,90703,3,2,Yes,2025-10-19
E0198,Finance,Financial Analyst,Male,31,6,98048,3,1,Yes,2019-06-20
E0199,Finance,Accountant,Female,29,2,72729,1,1,Yes,2023-10-18
E0200,Sales,Sales Rep,Male,47,12,110839,2,4,No,2013-03-28
E0201,HR,Recruiter,Male,35,11,100217,2,2,Yes,2014-08-14
E0202,Marketing,SEO Analyst,Male,42,17,117114,5,6,No,2008-05-19
E0203,Engineering,DevOps Engineer,Male,36,0,89344,1,1,Yes,2025-07-30
E0204,Marketing,Marketing Manager,Female,46,10,124964,4,5,No,2015-07-19
E0205,HR,HR Generalist,Male,47,15,110370,4,6,No,2010-11-10
E0206,Finance,Financial Analyst,Male,33,0,89642,1,3,No,2025-12-07
E0207,Finance,Accountant,Male,24,2,85483,5,4,No,2023-07-21
E0208,Engineering,QA Engineer,Male,39,3,101286,1,1,Yes,2022-12-15
E0209,Sales,Sales Rep,Male,36,5,87019,5,5,No,2020-12-30
E0210,Finance,Financial Analyst,Male,48,16,118200,4,4,No,2009-11-16
E0211,Operations,Ops Manager,Male,53,17,130255,2,5,Yes,2008-07-21
E0212,Operations,Ops Manager,Female,44,11,111071,2,4,No,2014-07-16
E0213,HR,HR Generalist,Female,50,17,98805,3,5,No,2008-07-07
E0214,HR,HR Generalist,Female,26,3,77452,5,8,No,2022-10-12
E0215,Sales,Account Executive,Female,30,7,95588,4,3,Yes,2018-07-02
E0216,Engineering,Software Engineer,Male,35,6,111249,1,3,Yes,2019-03-14
E0217,Finance,Financial Analyst,Female,44,9,94684,4,2,Yes,2016-01-10
E0218,Sales,Sales Rep,Female,30,5,84668,2,1,No,2020-12-14
E0219,HR,Recruiter,Male,27,0,61981,5,9,No,2025-04-29
E0220,Finance,Accountant,Male,36,9,102819,5,8,No,2016-02-21
E0221,Operations,Ops Manager,Male,27,2,95898,4,6,Yes,2023-12-17
E0222,Sales,Account Executive,Male,28,3,81703,1,1,Yes,2022-07-09
E0223,Marketing,Marketing Manager,Female,41,15,142046,1,4,No,2010-05-12
E0224,Marketing,SEO Analyst,Male,23,0,57891,3,3,No,2025-02-20
E0225,Finance,Accountant,Male,40,11,107730,3,3,Yes,2014-02-19
E0226,Marketing,Marketing Manager,Male,45,17,126364,1,5,No,2008-09-28
E0227,Marketing,Marketing Manager,Male,39,9,120989,3,6,Yes,2016-10-14
E0228,Operations,Ops Manager,Female,39,5,95556,1,4,No,2020-04-08
E0229,Marketing,Marketing Manager,Male,25,0,98380,5,6,No,2025-12-25
E0230,Operations,Ops Manager,Male,36,9,119081,3,2,Yes,2016-03-19
E0231,Engineering,DevOps Engineer,Female,35,0,101998,2,2,Yes,2025-09-20
E0232,Operations,Logistics Coordinator,Male,34,1,74630,2,4,No,2024-02-23
E0233,Operations,Logistics Coordinator,Female,27,1,62331,2,6,No,2024-12-18
E0234,HR,HR Generalist,Male,42,10,94343,3,4,Yes,2015-06-11
E0235,Marketing,SEO Analyst,Female,27,4,81081,1,2,No,2021-05-27
E0236,Marketing,Marketing Manager,Male,39,4,114916,3,2,No,2021-05-08
E0237,Marketing,SEO Analyst,Female,33,2,63366,4,8,No,2023-12-22
E0238,Marketing,Marketing Manager,Male,41,13,121950,4,8,No,2012-05-07
E0239,Engineering,Engineering Manager,Female,36,5,143012,5,6,No,2020-04-13
E0240,Sales,Account Executive,Male,32,8,82722,1,1,No,2017-12-29
E0241,Operations,Logistics Coordinator,Female,37,12,99462,2,1,No,2013-05-28
E0242,Sales,Sales Rep,Female,31,1,78914,1,1,No,2024-03-05
E0243,Engineering,Software Engineer,Female,44,11,118265,5,3,No,2014-07-29
E0244,Engineering,QA Engineer,Female,49,17,148601,4,5,Yes,2008-01-29
E0245,HR,HR Generalist,Male,28,0,69007,5,7,No,2025-06-26
E0246,Operations,Logistics Coordinator,Male,49,14,105025,5,6,No,2011-12-08
E0247,Finance,Accountant,Male,34,6,101329,1,1,Yes,2019-03-30
E0248,Operations,Ops Manager,Male,37,11,115832,3,3,Yes,2014-12-22
E0249,Engineering,QA Engineer,Female,31,1,91363,5,6,Yes,2024-12-24
E0250,Operations,Logistics Coordinator,Male,25,0,63230,1,1,No,2025-06-11
E0251,HR,HR Generalist,Female,32,1,60049,1,1,Yes,2024-07-09
E0252,Engineering,DevOps Engineer,Female,51,16,136872,5,7,No,2009-08-26
E0253,Engineering,DevOps Engineer,Female,40,6,116792,1,5,No,2019-02-12
E0254,Marketing,Content Specialist,Male,40,12,95999,5,4,No,2013-09-10
E0255,Operations,Ops Manager,Female,45,10,111202,1,3,Yes,2015-03-18
E0256,HR,Recruiter,Male,34,4,83735,4,8,No,2021-01-17
E0257,Sales,Account Executive,Male,35,11,109523,5,6,No,2014-06-30
E0258,Marketing,Marketing Manager,Female,35,8,106113,3,4,No,2017-06-25
E0259,HR,Recruiter,Male,37,10,96937,4,5,Yes,2015-06-27
E0260,Finance,Accountant,Male,31,8,107328,2,3,Yes,2017-12-21
E0261,Marketing,SEO Analyst,Female,36,10,100958,2,1,No,2015-08-15
E0262,Marketing,Content Specialist,Male,40,13,109073,2,1,Yes,2012-09-22
E0263,Engineering,QA Engineer,Female,49,16,137453,4,6,No,2009-07-12
E0264,Operations,Logistics Coordinator,Female,30,7,94363,1,1,Yes,2018-06-20
E0265,HR,HR Generalist,Male,37,13,99220,3,2,Yes,2012-09-28
E0266,HR,Recruiter,Female,38,3,80777,1,1,No,2022-02-17
E0267,Engineering,DevOps Engineer,Male,35,7,110253,1,1,No,2018-08-08
E0268,Finance,Financial Analyst,Male,45,12,108811,5,7,No,2013-11-19
E0269,Operations,Ops Manager,Male,35,1,99837,5,9,No,2024-10-19
E0270,Finance,Financial Analyst,Female,36,7,103515,5,4,No,2018-02-11
E0271,HR,Recruiter,Male,41,12,97324,3,4,No,2013-08-24
E0272,Engineering,DevOps Engineer,Male,49,13,128817,1,3,No,2012-05-25
E0273,Sales,Account Executive,Male,37,7,79792,3,3,Yes,2018-01-30
E0274,HR,HR Generalist,Female,44,15,100657,1,4,No,2010-11-01
E0275,Marketing,SEO Analyst,Female,27,3,71921,1,3,Yes,2022-11-25
E0276,HR,Recruiter,Male,42,12,91905,5,4,Yes,2013-07-08
E0277,Engineering,Software Engineer,Female,42,9,115713,1,3,Yes,2016-07-20
E0278,Marketing,Content Specialist,Male,32,7,94070,4,4,No,2018-09-30
E0279,Finance,Financial Analyst,Male,26,1,74686,1,3,Yes,2024-11-28
E0280,HR,HR Generalist,Male,24,2,63487,1,5,No,2023-02-03
E0281,Engineering,DevOps Engineer,Male,33,0,95010,2,1,Yes,2025-04-12
E0282,Finance,Financial Analyst,Male,46,15,110290,1,1,Yes,2010-06-10
E0283,Engineering,DevOps Engineer,Female,36,1,99802,3,7,No,2024-01-17
E0284,HR,HR Generalist,Male,28,5,71974,2,6,No,2020-02-05
E0285,Operations,Ops Manager,Female,37,10,125357,5,9,No,2015-03-14
E0286,Engineering,Software Engineer,Male,49,15,138719,1,1,Yes,2010-09-11
E0287,Finance,Accountant,Male,32,9,111217,4,6,No,2016-09-02
E0288,Operations,Logistics Coordinator,Male,38,6,71791,2,5,No,2019-01-11
E0289,Marketing,Marketing Manager,Female,44,9,119151,1,1,Yes,2016-07-12
E0290,Sales,Sales Manager,Male,24,0,96724,1,3,Yes,2025-07-28
E0291,Sales,Account Executive,Female,37,2,85347,1,1,Yes,2023-04-26
E0292,Sales,Sales Rep,Male,36,2,67830,1,1,No,2023-07-29
E0293,Operations,Ops Manager,Female,29,5,112478,3,6,No,2020-09-29
E0294,Operations,Ops Manager,Female,38,5,95457,4,4,No,2020-12-07
E0295,Marketing,Marketing Manager,Male,39,14,136625,2,4,No,2011-11-21
E0296,Marketing,Marketing Manager,Male,31,1,97929,1,4,No,2024-12-30
E0297,Sales,Sales Rep,Female,48,16,112656,1,1,Yes,2009-05-11
E0298,Marketing,Marketing Manager,Male,46,10,109933,4,4,Yes,2015-09-19
E0299,HR,HR Generalist,Male,35,1,57095,4,3,No,2024-10-31
E0300,Operations,Ops Manager,Female,44,11,107107,3,1,Yes,2014-03-20
